frame_id,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad)
252,102353281311,0.0053,0.0052,-0.0949,0.0588,0.0184,0.0423
253,102398210954,0.0057,0.0053,-0.0948,0.0588,0.0184,0.0424
254,102424573417,0.0060,0.0052,-0.0945,0.0589,0.0184,0.0425
255,102468494337,0.0059,0.0052,-0.0945,0.0588,0.0184,0.0426
256,102494811814,0.0058,0.0051,-0.0946,0.0588,0.0184,0.0427
257,102529897619,0.0059,0.0052,-0.0943,0.0585,0.0185,0.0429
258,102564986753,0.0059,0.0052,-0.0942,0.0584,0.0185,0.0430
259,102600083736,0.0055,0.0053,-0.0940,0.0583,0.0186,0.0432
260,102635171119,0.0054,0.0054,-0.0940,0.0582,0.0186,0.0434
261,102661488412,0.0052,0.0053,-0.0940,0.0582,0.0185,0.0435
262,102696596538,0.0051,0.0059,-0.0935,0.0579,0.0188,0.0438
263,102731689892,0.0048,0.0060,-0.0935,0.0579,0.0187,0.0441
264,102766797475,0.0051,0.0059,-0.0938,0.0579,0.0185,0.0445
265,102801896024,0.0048,0.0059,-0.0939,0.0579,0.0184,0.0447
266,102828214298,0.0050,0.0057,-0.0941,0.0580,0.0183,0.0448
267,102863335564,0.0054,0.0056,-0.0942,0.0580,0.0182,0.0450
268,102898468267,0.0052,0.0055,-0.0943,0.0580,0.0181,0.0451
269,102933677580,0.0052,0.0054,-0.0941,0.0579,0.0182,0.0452
270,102968797241,0.0054,0.0053,-0.0941,0.0579,0.0181,0.0453
271,102995119861,0.0053,0.0052,-0.0942,0.0579,0.0181,0.0454
272,103030221845,0.0056,0.0053,-0.0940,0.0578,0.0181,0.0456
273,103065332910,0.0059,0.0056,-0.0937,0.0578,0.0182,0.0457
274,103100440070,0.0057,0.0054,-0.0938,0.0577,0.0182,0.0458
275,103135543174,0.0056,0.0056,-0.0939,0.0577,0.0181,0.0457
276,103161862633,0.0057,0.0057,-0.0939,0.0576,0.0181,0.0457
277,103196962656,0.0057,0.0059,-0.0939,0.0576,0.0182,0.0457
278,103232108612,0.0055,0.0060,-0.0940,0.0574,0.0182,0.0457
279,103258432726,0.0054,0.0059,-0.0940,0.0574,0.0182,0.0457
280,103302363499,0.0054,0.0061,-0.0940,0.0573,0.0182,0.0459
281,103328687716,0.0054,0.0059,-0.0939,0.0573,0.0182,0.0460
282,103363789490,0.0056,0.0062,-0.0937,0.0572,0.0183,0.0460
283,103398933099,0.0058,0.0062,-0.0936,0.0573,0.0182,0.0461
284,103434042614,0.0057,0.0061,-0.0937,0.0572,0.0181,0.0462
285,103460381595,0.0057,0.0062,-0.0935,0.0571,0.0182,0.0462
286,103495476811,0.0055,0.0062,-0.0935,0.0570,0.0183,0.0463
287,103530618836,0.0057,0.0064,-0.0930,0.0570,0.0185,0.0466
288,103565725747,0.0057,0.0064,-0.0930,0.0570,0.0184,0.0468
289,103600829347,0.0056,0.0063,-0.0930,0.0570,0.0183,0.0469
290,103627171152,0.0060,0.0064,-0.0924,0.0571,0.0185,0.0471
291,103662415796,0.0063,0.0066,-0.0922,0.0571,0.0184,0.0472
292,103697573692,0.0064,0.0065,-0.0923,0.0570,0.0184,0.0472
293,103732686580,0.0066,0.0067,-0.0922,0.0570,0.0184,0.0472
294,103767798399,0.0067,0.0066,-0.0921,0.0570,0.0183,0.0472
295,103794122780,0.0065,0.0065,-0.0922,0.0568,0.0184,0.0472
296,103829298626,0.0069,0.0067,-0.0921,0.0568,0.0183,0.0472
297,103864407232,0.0066,0.0065,-0.0921,0.0565,0.0184,0.0472
298,103899506729,0.0068,0.0064,-0.0920,0.0556,0.0193,0.0469
299,103925895148,0.0062,0.0064,-0.0920,0.0550,0.0219,0.0461
300,103961019372,0.0057,0.0066,-0.0922,0.0557,0.0247,0.0465
301,103996122095,0.0050,0.0068,-0.0927,0.0520,0.0286,0.0499
302,104031216852,0.0052,0.0070,-0.0927,0.0502,0.0286,0.0512
303,104057573223,0.0049,0.0077,-0.0930,0.0508,0.0265,0.0456
304,104097250525,0.0041,0.0081,-0.0948,0.0547,0.0189,0.0324
305,104132340347,0.0040,0.0082,-0.0957,0.0557,0.0191,0.0257
306,104158659400,0.0035,0.0081,-0.0960,0.0543,0.0227,0.0243
307,104199064263,0.0025,0.0065,-0.0980,0.0550,0.0281,0.0260
308,104228886724,0.0018,0.0057,-0.0992,0.0555,0.0272,0.0285
309,104264023802,0.0014,0.0050,-0.1000,0.0525,0.0274,0.0288
310,104299123978,0.0010,0.0046,-0.1011,0.0508,0.0278,0.0295
311,104334208227,0.0002,0.0044,-0.1022,0.0520,0.0267,0.0293
312,104360560964,-0.0003,0.0040,-0.1029,0.0517,0.0270,0.0275
313,104395693226,-0.0002,0.0042,-0.1038,0.0521,0.0267,0.0259
314,104430773502,-0.0007,0.0039,-0.1041,0.0530,0.0262,0.0290
315,104465867181,-0.0008,0.0030,-0.1042,0.0533,0.0265,0.0380
316,104500966581,-0.0008,0.0013,-0.1050,0.0532,0.0266,0.0488
317,104527306693,-0.0003,-0.0003,-0.1056,0.0528,0.0266,0.0569
